Repulsive_Exponent,Attractive_Exponent,Temperature,Density,Viscosity,Alpha,Temperature_Critical,Density_Critical
12,6,1.029851,0.585561,0.802494,0.888888888888889,1.311912,0.312299
12,6,1.090199,0.544337,0.703757,0.888888888888889,1.311912,0.312299
12,6,1.157106,0.588059,0.77562,0.888888888888889,1.311912,0.312299
12,6,1.016732,0.692991,1.18848,0.888888888888889,1.311912,0.312299
12,6,0.995741,0.730155,1.42227,0.888888888888889,1.311912,0.312299
12,7,0.893189,0.557387,0.800089,0.708916743337359,1.102703,0.309144
12,7,0.927373,0.67177,1.115313,0.708916743337359,1.102703,0.309144
12,7,0.957146,0.537292,0.680814,0.708916743337359,1.102703,0.309144
12,7,0.831438,0.587064,0.983586,0.708916743337359,1.102703,0.309144
12,7,0.917449,0.566661,0.76698,0.708916743337359,1.102703,0.309144
12,8,0.812387,0.658923,1.034024,0.6,0.978779,0.308052
12,8,0.757575,0.688804,1.184894,0.6,0.978779,0.308052
12,8,0.735063,0.558806,1.004034,0.6,0.978779,0.308052
12,8,0.895583,0.568972,0.714308,0.6,0.978779,0.308052
12,8,0.846644,0.609943,0.825805,0.6,0.978779,0.308052
13,6,0.987485,0.713152,1.298664,0.840705520520645,1.253153,0.314164
13,6,1.030092,0.582146,0.791403,0.840705520520645,1.253153,0.314164
13,6,1.111547,0.551044,0.667163,0.840705520520645,1.253153,0.314164
13,6,0.982472,0.673568,1.064067,0.840705520520645,1.253153,0.314164
13,6,1.125331,0.591885,0.780094,0.840705520520645,1.253153,0.314164
13,7,0.853459,0.562838,0.840945,0.669169634416835,1.054955,0.308743
13,7,0.796491,0.725237,1.44093,0.669169634416835,1.054955,0.308743
13,7,0.847129,0.590317,0.863903,0.669169634416835,1.054955,0.308743
13,7,0.93047,0.617795,0.859307,0.669169634416835,1.054955,0.308743
13,7,0.82181,0.732956,1.500399,0.669169634416835,1.054955,0.308743
13,8,0.832128,0.539018,0.672607,0.565377775132043,0.938138,0.310137
13,8,0.804922,0.530644,0.726328,0.565377775132043,0.938138,0.310137
13,8,0.861211,0.550803,0.667495,0.565377775132043,0.938138,0.310137
13,8,0.706418,0.687884,1.325524,0.565377775132043,0.938138,0.310137
13,8,0.719552,0.562589,1.011267,0.565377775132043,0.938138,0.310137
14,6,1.035564,0.546754,0.66984,0.800933916503855,1.204144,0.31586
14,6,0.927191,0.693313,1.192839,0.800933916503855,1.204144,0.31586
14,6,0.915149,0.693313,1.201743,0.800933916503855,1.204144,0.31586
14,6,1.001848,0.673414,1.089307,0.800933916503855,1.204144,0.31586
14,6,1.007869,0.551176,0.723614,0.800933916503855,1.204144,0.31586
14,7,0.847191,0.532324,0.756917,0.636363636363636,1.015816,0.309131
14,7,0.869538,0.619189,0.869489,0.636363636363636,1.015816,0.309131
14,7,0.7964,0.707292,1.324401,0.636363636363636,1.015816,0.309131
14,7,0.768973,0.619499,1.13725,0.636363636363636,1.015816,0.309131
14,7,0.813669,0.66154,1.017198,0.636363636363636,1.015816,0.309131
14,8,0.725413,0.540196,0.880768,0.536804413384483,0.904505,0.313885
14,8,0.688328,0.724133,1.466685,0.536804413384483,0.904505,0.313885
14,8,0.714559,0.592301,1.06359,0.536804413384483,0.904505,0.313885
14,8,0.812245,0.596068,0.785601,0.536804413384483,0.904505,0.313885
14,8,0.747121,0.687094,1.190077,0.536804413384483,0.904505,0.313885
15,6,0.921383,0.572283,0.865967,0.767506562216747,1.163363,0.316528
15,6,0.887646,0.545378,0.832191,0.767506562216747,1.163363,0.316528
15,6,0.912077,0.5707,0.846783,0.767506562216747,1.163363,0.316528
15,6,0.894626,0.687182,1.162301,0.767506562216747,1.163363,0.316528
15,6,0.988859,0.59444,0.798943,0.767506562216747,1.163363,0.316528
