Repulsive_Exponent,Attractive_Exponent,Temperature,Density,Diffusion_Coefficient,Alpha,Temperature_Critical,Density_Critical
12,6,1.377508,0.06246,3.06904191,0.888888888888889,1.311912,0.312299
12,6,1.377508,0.312299,0.60639059,0.888888888888889,1.311912,0.312299
12,6,1.377508,0.624598,0.209561,0.888888888888889,1.311912,0.312299
12,6,1.63989,0.06246,3.6397047,0.888888888888889,1.311912,0.312299
12,6,1.63989,0.312299,0.69432984,0.888888888888889,1.311912,0.312299
12,6,1.63989,0.624598,0.24615042,0.888888888888889,1.311912,0.312299
12,6,1.967868,0.06246,4.30126219,0.888888888888889,1.311912,0.312299
12,6,1.967868,0.312299,0.81049483,0.888888888888889,1.311912,0.312299
12,6,1.967868,0.624598,0.28405536,0.888888888888889,1.311912,0.312299
12,7,1.157838,0.061829,2.7027701,0.708916743337359,1.102703,0.309144
12,7,1.157838,0.309144,0.53670978,0.708916743337359,1.102703,0.309144
12,7,1.157838,0.618288,0.18504765,0.708916743337359,1.102703,0.309144
12,7,1.378379,0.061829,3.26400904,0.708916743337359,1.102703,0.309144
12,7,1.378379,0.309144,0.61531659,0.708916743337359,1.102703,0.309144
12,7,1.378379,0.618288,0.20937241,0.708916743337359,1.102703,0.309144
12,7,1.654054,0.061829,3.72329629,0.708916743337359,1.102703,0.309144
12,7,1.654054,0.309144,0.7139329,0.708916743337359,1.102703,0.309144
12,7,1.654054,0.618288,0.25117063,0.708916743337359,1.102703,0.309144
12,8,1.027718,0.06161,2.45410422,0.6,0.978779,0.308052
12,8,1.027718,0.308052,0.4712513,0.6,0.978779,0.308052
12,8,1.027718,0.616104,0.16599264,0.6,0.978779,0.308052
12,8,1.223474,0.06161,2.92514877,0.6,0.978779,0.308052
12,8,1.223474,0.308052,0.55582674,0.6,0.978779,0.308052
12,8,1.223474,0.616104,0.19071587,0.6,0.978779,0.308052
12,8,1.468168,0.06161,3.4369464,0.6,0.978779,0.308052
12,8,1.468168,0.308052,0.64615119,0.6,0.978779,0.308052
12,8,1.468168,0.616104,0.22481348,0.6,0.978779,0.308052
13,6,1.315811,0.062833,2.96353323,0.840705520520645,1.253153,0.314164
13,6,1.315811,0.314164,0.58029458,0.840705520520645,1.253153,0.314164
13,6,1.315811,0.628328,0.19827717,0.840705520520645,1.253153,0.314164
13,6,1.566441,0.062833,3.50861422,0.840705520520645,1.253153,0.314164
13,6,1.566441,0.314164,0.66441875,0.840705520520645,1.253153,0.314164
13,6,1.566441,0.628328,0.23282904,0.840705520520645,1.253153,0.314164
13,6,1.879729,0.062833,4.09396691,0.840705520520645,1.253153,0.314164
13,6,1.879729,0.314164,0.76095905,0.840705520520645,1.253153,0.314164
13,6,1.879729,0.628328,0.27393125,0.840705520520645,1.253153,0.314164
13,7,1.107703,0.061749,2.59730516,0.669169634416835,1.054955,0.308743
13,7,1.107703,0.308743,0.50642328,0.669169634416835,1.054955,0.308743
13,7,1.107703,0.617486,0.17312441,0.669169634416835,1.054955,0.308743
13,7,1.318694,0.061749,3.06998625,0.669169634416835,1.054955,0.308743
13,7,1.318694,0.308743,0.6022483,0.669169634416835,1.054955,0.308743
13,7,1.318694,0.617486,0.20388028,0.669169634416835,1.054955,0.308743
13,7,1.582433,0.061749,3.64683965,0.669169634416835,1.054955,0.308743
13,7,1.582433,0.308743,0.68253351,0.669169634416835,1.054955,0.308743
13,7,1.582433,0.617486,0.24388208,0.669169634416835,1.054955,0.308743
13,8,0.985045,0.062027,2.36465904,0.565377775132043,0.938138,0.310137
13,8,0.985045,0.310137,0.45565937,0.565377775132043,0.938138,0.310137
