lr,la,rho*,T*,shear_viscosity,shear_viscosity_std,alpha,author_id
12.0,6.0,0.79073,0.7019000000000001,2.2485,0.046948680000000007,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8101100000000001,0.70216,2.5524,0.040366205999999995,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8293600000000001,0.7023100000000001,2.9939,0.0595337015,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8493900000000001,0.7026800000000001,3.4894,0.048111847199999995,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8701500000000001,0.70311,4.1924,0.0627350736,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8899,0.7034400000000001,5.0763,0.067717842,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.84643,0.7245800000000001,3.3274,0.056040070799999994,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.76063,0.75172,1.7793,0.0339597198,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7803800000000001,0.7518800000000001,2.0278,0.0349471052,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7999900000000001,0.7518600000000001,2.3104,0.058996063999999994,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8203100000000001,0.75229,2.6944,0.047871404799999996,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8399200000000001,0.7523000000000001,3.1076,0.0476115396,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.86053,0.75268,3.6438,0.0454272546,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.87999,0.753,4.3538,0.05475774259999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7307600000000001,0.80166,1.4914,0.0429180178,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.75043,0.8015800000000001,1.6402999999999999,0.048424936599999996,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7702600000000001,0.80195,1.8691,0.0406753542,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7900800000000001,0.8019600000000001,2.1173,0.0287508167,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8104,0.80225,2.4335,0.07501263749999999,0.8888888888888888,Lautenschlaeger 2019
