AuthorID,lambda_r,lambda_a,T_crit,rho_crit,T_triple,rho_l_triple,rho_s_triple
Khrapak2011,12,6,1.313,0.304,0.66,0.84,
Khrapak2011,11,6,1.368,0.315,0.72,0.86,
Khrapak2011,10,6,1.494,0.3,0.68,0.85,
Khrapak2011,9,6,1.616,0.302,0.71,0.87,
Khrapak2011,8,6,1.814,0.298,0.71,0.88,
Khrapak2011,7,6,2.125,0.296,0.72,0.9,
Ahmed2009,12,6,,,0.661,0.864,0.978
Ahmed2009,11,6,,,0.673,0.867,0.982
Ahmed2009,10,6,,,0.689,0.867,0.992
Ahmed2009,9,6,,,0.718,0.883,1
Ahmed2009,8,6,,,0.748,0.899,1.028
Ahmed2009,7,6,,,0.782,0.932,1.05
Ramrattan2013,8,6,1.743,0.296,0.706,0.892,0.978
Ramrattan2013,9.85,6,1.456,0.293,0.68,0.869,0.967
Ramrattan2013,12,6,1.312,0.3,0.694,,
Ramrattan2013,15.58,6,1.113,0.324,0.675,0.83,0.978
Ramrattan2013,32.53,6,0.869,0.341,0.635,0.816,1.046
Werth2017,9,6,1.624,0.309,,,
Werth2017,12,6,1.319,0.316,,,
Werth2017,15,6,1.163,0.322,,,
Werth2017,18,6,1.069,0.326,,,
Werth2017,27,6,0.923,0.337,,,
Stephan2023,8,6,1.776,0.3086,,,
Stephan2023,10,6,1.465,0.309,,,
Stephan2023,12,6,1.296,0.313,,,
Stephan2023,14,6,1.191,0.318,,,
Stephan2023,16,6,1.117,0.321,,,
Stephan2023,20,6,1.019,0.327,,,
Stephan2023,36,6,0.851,0.344,,,
Stephan2023,48,6,0.797,0.351,,,
