lr,la,rho*,T*,T_ad,P_ad,TotEn_ad,Cv_nvt,ThermalPressureCoeff_nvt,Cp_npt,ThermalExpansionCoeff_npt,IsothermalCompressibility_npt,Cv_npt,JouleThomson_npt,Brown_type,is_fluid,is_solid
8.0,6.0,0.848457643,1.07155276,1.07155276,0.909590009,-5.770518537,,,,,,,,Zeno,True,False
8.0,6.0,0.823530858,1.188019308,1.188019308,0.975683697,-5.327875525,,,,,,,,Zeno,True,False
8.0,6.0,0.79559441,1.321097541,1.321097541,1.051571592,-4.8313365755,,,,,,,,Zeno,True,False
8.0,6.0,0.764205588,1.4731569,1.4731569,1.124226421,-4.27772631,,,,,,,,Zeno,True,False
8.0,6.0,0.728857962,1.646904537,1.646904537,1.200571061,-3.6575876865,,,,,,,,Zeno,True,False
8.0,6.0,0.688945201,1.84543403,1.84543403,1.273583552,-2.96366988,,,,,,,,Zeno,True,False
8.0,6.0,0.643240491,2.072279977,2.072279977,1.332059328,-2.1838061444999997,,,,,,,,Zeno,True,False
8.0,6.0,0.590950075,2.331480942,2.331480942,1.374871669,-1.3067814420000006,,,,,,,,Zeno,True,False
8.0,6.0,0.531603713,2.627652105,2.627652105,1.394301814,-0.3246951445000001,,,,,,,,Zeno,True,False
8.0,6.0,0.463497761,2.966066362,2.966066362,1.371540346,0.7789202529999999,,,,,,,,Zeno,True,False
8.0,6.0,0.395341145,3.304480638,3.304480638,1.303691243,1.865734262,,,,,,,,Zeno,True,False
8.0,6.0,0.327394049,3.642894878,3.642894878,1.192007315,2.9335309599999997,,,,,,,,Zeno,True,False
8.0,6.0,0.267691313,3.939066088,3.939066088,1.053701662,3.857345959,,,,,,,,Zeno,True,False
8.0,6.0,0.215861422,4.198267118,4.198267118,0.906651315,4.657201709000001,,,,,,,,Zeno,True,False
8.0,6.0,0.169659458,4.425112986,4.425112986,0.750588576,5.355618859000001,,,,,,,,Zeno,True,False
8.0,6.0,0.129974095,4.623642475,4.623642475,0.600716208,5.957401632499999,,,,,,,,Zeno,True,False
8.0,6.0,0.09482897,4.79739013,4.79739013,0.454903918,6.4863313830000005,,,,,,,,Zeno,True,False
8.0,6.0,0.064008571,4.949449509,4.949449509,0.316743513,6.9467229475,,,,,,,,Zeno,True,False
8.0,6.0,0.038652925,5.082527723,5.082527723,0.196477592,7.3363192095,,,,,,,,Zeno,True,False
8.0,6.0,0.012762483,5.198994282,5.198994282,0.06634825,7.703803891,,,,,,,,Zeno,True,False
10.0,6.0,0.842260044,0.888134816,0.888134816,0.747993542,-5.1440554800000005,,,,,,,,Zeno,True,False
10.0,6.0,0.8186672,0.975870662,0.975870662,0.801724546,-4.7790917969999995,,,,,,,,Zeno,True,False
10.0,6.0,0.792280746,1.076120378,1.076120378,0.852949533,-4.373861552,,,,,,,,Zeno,True,False
10.0,6.0,0.762455823,1.190668772,1.190668772,0.909104157,-3.919964545,,,,,,,,Zeno,True,False
10.0,6.0,0.728362054,1.321555373,1.321555373,0.960745603,-3.4097991435,,,,,,,,Zeno,True,False
10.0,6.0,0.689768801,1.471110329,1.471110329,1.015353831,-2.8392487854999997,,,,,,,,Zeno,True,False
10.0,6.0,0.645621028,1.641996404,1.641996404,1.05972606,-2.1999211360000004,,,,,,,,Zeno,True,False
10.0,6.0,0.594740735,1.837256093,1.837256093,1.09137414,-1.4798650945,,,,,,,,Zeno,True,False
10.0,6.0,0.535794155,2.060365961,2.060365961,1.100668063,-0.6697178205000003,,,,,,,,Zeno,True,False
10.0,6.0,0.468396474,2.315298119,2.315298119,1.082043699,0.2360455475000002,,,,,,,,Zeno,True,False
10.0,6.0,0.400234051,2.570230211,2.570230211,1.026607449,1.1284353035000003,,,,,,,,Zeno,True,False
10.0,6.0,0.332267133,2.825162339,2.825162339,0.938936822,2.0035828684999997,,,,,,,,Zeno,True,False
10.0,6.0,0.271384819,3.048272174,3.048272174,0.826133492,2.7666062239999993,,,,,,,,Zeno,True,False
10.0,6.0,0.219161794,3.243531913,3.243531913,0.710716862,3.4201779575,,,,,,,,Zeno,True,False
10.0,6.0,0.17302192,3.414418037,3.414418037,0.590646085,3.9885148505,,,,,,,,Zeno,True,False
10.0,6.0,0.13071702,3.563973063,3.563973063,0.465685486,4.4943045155,,,,,,,,Zeno,True,False
10.0,6.0,0.096866945,3.694859554,3.694859554,0.357968893,4.914570564,,,,,,,,Zeno,True,False
10.0,6.0,0.067091148,3.809407969,3.809407969,0.255521471,5.2815746325,,,,,,,,Zeno,True,False
10.0,6.0,0.041170733,3.909657639,3.909657639,0.160991471,5.5998772685,,,,,,,,Zeno,True,False
10.0,6.0,0.014838197,3.997393532,3.997393532,0.05931438,5.900826797,,,,,,,,Zeno,True,False
11.0,6.0,0.845236662,0.831423806,0.831423806,0.702480152,-4.9791000489999995,,,,,,,,Zeno,True,False
11.0,6.0,0.831386234,0.87871967,0.87871967,0.729274318,-4.77506333,,,,,,,,Zeno,True,False
11.0,6.0,0.815715746,0.93276129,0.93276129,0.763352891,-4.544523757,,,,,,,,Zeno,True,False
11.0,6.0,0.797911182,0.994510905,0.994510905,0.792519587,-4.285825450500001,,,,,,,,Zeno,True,False
11.0,6.0,0.777827544,1.065067911,1.065067911,0.832470981,-3.9939710865,,,,,,,,Zeno,True,False
11.0,6.0,0.754841249,1.145688633,1.145688633,0.868690027,-3.6649820355,,,,,,,,Zeno,True,False
11.0,6.0,0.728549347,1.237808327,1.237808327,0.902563251,-3.2942691485,,,,,,,,Zeno,True,False
11.0,6.0,0.698476819,1.343067061,1.343067061,0.938380059,-2.8760312595000004,,,,,,,,Zeno,True,False
11.0,6.0,0.664388263,1.463338931,1.463338931,0.973206416,-2.4077518395,,,,,,,,Zeno,True,False
11.0,6.0,0.624986809,1.6007653,1.6007653,1.000708288,-1.878319636,,,,,,,,Zeno,True,False
11.0,6.0,0.579789468,1.757792933,1.757792933,1.019600845,-1.2832979975,,,,,,,,Zeno,True,False
11.0,6.0,0.527194406,1.937217553,1.937217553,1.019385762,-0.6111527385,,,,,,,,Zeno,True,False
11.0,6.0,0.466672688,2.142233619,2.142233619,0.99695168,0.1446113755000002,,,,,,,,Zeno,True,False
11.0,6.0,0.405848434,2.347249708,2.347249708,0.950124047,0.8870649020000005,,,,,,,,Zeno,True,False
11.0,6.0,0.344363099,2.552265778,2.552265778,0.876497092,1.6209240140000003,,,,,,,,Zeno,True,False
11.0,6.0,0.290439937,2.731690352,2.731690352,0.79265884,2.255185922,,,,,,,,Zeno,True,False
11.0,6.0,0.242919285,2.888717958,2.888717958,0.701021427,2.8043705379999997,,,,,,,,Zeno,True,False
11.0,6.0,0.202117194,3.02614431,3.02614431,0.611741065,3.2766121779999997,,,,,,,,Zeno,True,False
11.0,6.0,0.164626745,3.146416226,3.146416226,0.518023832,3.696868424,,,,,,,,Zeno,True,False
11.0,6.0,0.132868925,3.251674929,3.251674929,0.43192242,4.0560396995,,,,,,,,Zeno,True,False
11.0,6.0,0.104957296,3.343794602,3.343794602,0.350833691,4.369325717000001,,,,,,,,Zeno,True,False
11.0,6.0,0.081110196,3.424415317,3.424415317,0.277801851,4.6395855335,,,,,,,,Zeno,True,False
11.0,6.0,0.059560876,3.494972334,3.494972334,0.208146524,4.878032868,,,,,,,,Zeno,True,False
11.0,6.0,0.040344479,3.556721992,3.556721992,0.143436393,5.088720683,,,,,,,,Zeno,True,False
11.0,6.0,0.020618598,3.61076364,3.61076364,0.074444469,5.2904388540000005,,,,,,,,Zeno,True,False
12.0,6.0,0.826937864,0.8601164,0.8601164,0.708514578,-4.539061676999999,,,,,,,,Zeno,True,False
12.0,6.0,0.801094708,0.943285464,0.943285464,0.754883427,-4.177605672,,,,,,,,Zeno,True,False
12.0,6.0,0.771705876,1.038317034,1.038317034,0.803822432,-3.771520291,,,,,,,,Zeno,True,False
12.0,6.0,0.738244839,1.146902971,1.146902971,0.849441825,-3.3180197245,,,,,,,,Zeno,True,False
12.0,6.0,0.700099866,1.27097665,1.27097665,0.893970084,-2.809760888,,,,,,,,Zeno,True,False
12.0,6.0,0.65600681,1.412747165,1.412747165,0.925161437,-2.2391132075,,,,,,,,Zeno,True,False
12.0,6.0,0.60531061,1.574738381,1.574738381,0.95295701,-1.5975436584999998,,,,,,,,Zeno,True,False
12.0,6.0,0.546581459,1.759834555,1.759834555,0.960839241,-0.8788716325000001,,,,,,,,Zeno,True,False
