lr,la,rho*,T*,B2*,dB2*_dT*,B3*,dB3*_dT*
7,6,0,1.0033578219128758,-9.878480284510255,14.814313271057419,,
7,6,0,1.1211437625505012,-8.362618419927934,11.178148987799647,-2.498622267477086,30.759878159635143
7,6,0,1.2389297031881266,-7.199277556170276,8.725528053328894,0.07771264815635645,14.973757115331628
7,6,0,1.3567156438257517,-6.279049233896456,6.994490891084018,1.3433122502046178,7.397566708101427
7,6,0,1.474501584463377,-5.5334643599048245,5.727970797879015,1.9646889209170326,3.572612599379121
7,6,0,1.5922875251010025,-4.917508260859769,4.773816442903362,2.255400381594785,1.5741520339594084
7,6,0,1.7100734657386276,-4.400382051778812,4.037362221523439,2.371643381056085,0.5098734414368716
7,6,0,1.8278594063762528,-3.960307393221373,3.457228876765769,2.394732398735674,-0.05824179136213024
7,6,0,1.9456453470138784,-3.581452461077226,2.9922166318199848,2.3684326871413615,-0.3553849595968469
7,6,0,2.0634312876515035,-3.2520343174763733,2.613842863810067,2.316866471590646,-0.5017483105910546
7,6,0,2.1812172282891287,-2.9631031312006186,2.3019096453293577,2.2535231610843707,-0.5634416267393249
7,6,0,2.2990031689267543,-2.7077403423886497,2.041773373189445,2.1859781165643724,-0.5776953202432742
7,6,0,2.4167891095643794,-2.4805135405304166,1.8226088513928094,2.118447951081305,-0.5658462309639428
7,6,0,2.5345750502020046,-2.277098436066079,1.6362746065712945,2.0532133995621735,-0.5402621755571784
7,6,0,2.6523609908396297,-2.0940102201536646,1.4765527996053414,1.991430062116987,-0.508144769712335
7,6,0,2.7701469314772553,-1.9284096574905392,1.3386288346447706,1.9335990156068066,-0.47367127165441697
7,6,0,2.8879328721148805,-1.7779602955008866,1.2187280400491678,1.879843918628099,-0.4392271864999396
7,6,0,3.0057188127525056,-1.6407222355677096,1.1138575009980476,1.8300758017850352,-0.4061286136072126
7,6,0,3.1235047533901312,-1.5150714021029061,1.0216196578127725,1.7840915692890853,-0.37505195363698574
7,6,0,3.2412906940277564,-1.3996379762624702,0.9400757498838532,1.7416328423432448,-0.3462925786617672
7,6,0,3.3590766346653815,-1.293258569182421,0.8676444378701221,1.7024208283059592,-0.3199218933082285
7,6,0,3.476862575303007,-1.194938896451758,0.8030256185497032,1.666176594291293,-0.2958831892027714
7,6,0,3.5946485159406323,-1.1038241126525354,0.7451425253261196,1.6326324256307139,-0.2740502039306845
7,6,0,3.7124344565782574,-1.019175254539847,0.6930972665936582,1.6015377456609605,-0.254262747184383
7,6,0,3.8302203972158826,-0.9403504022837789,0.646136353275024,1.5726617414031678,-0.2363481332348766
7,6,0,3.948006337853508,-0.8667891943329362,0.6036237313364835,1.5457940250515791,-0.22013379607040062
7,6,0,4.065792278491133,-0.7980002786979565,0.5650195089661985,1.5207441578246033,-0.2054544251399345
7,6,0,4.1835782191287585,-0.733551187859098,0.5298630448547699,1.4973405491214475,-0.1921557090793881
7,6,0,4.3013641597663845,-0.673059655538093,0.497759405259875,1.4754290473117384,-0.1800959994714227
7,6,0,4.41915010040401,-0.6161866168734492,0.4683684444593214,1.4548714147154016,-0.16914672164514277
7,6,0,4.536936041041635,-0.5626303146419167,0.44139594370011853,1.4355438012955257,-0.15919205379496273
7,6,0,4.65472198167926,-0.5121212699926594,0.4165863769697216,1.4173352824627237,-0.15012820185699774
7,6,0,4.772507922316885,-0.4644181402442156,0.39371697112480514,1.400146495633341,-0.1418624741683834
7,6,0,4.890293862954511,-0.41930415842915203,0.37259280242395654,1.3838883911357067,-0.13431228119019167
7,6,0,5.008079803592136,-0.3765839874348454,0.35304272792166513,1.3684811014824316,-0.12740413533878842
7,6,0,5.1258657442297615,-0.33608133670065143,0.3349159932129338,1.3538529262113876,-0.12107269402023034
7,6,0,5.243651684867387,-0.29763655828180713,0.3180793910797952,1.339939425702239,-0.11525986878089903
7,6,0,5.361437625505012,-0.2611047785880936,0.3024148711659292,1.3266826154775928,-0.10991401089418928
7,6,0,5.479223566142637,-0.2263542466527958,0.28781752071687966,1.314030251773632,-0.10498917600103286
7,6,0,5.597009506780263,-0.19326484715717782,0.27419385202060204,1.3019351991499954,-0.10044446586449547
7,6,0,5.714795447417888,-0.16172692674480194,0.26146034447240263,1.2903548713024,-0.09624344275091379
7,6,0,5.832581388055513,-0.13164014021475912,0.24954219892533783,1.279250736855094,-0.09235361067364034
7,6,0,5.9503673286931384,-0.10291246599199791,0.23837226974292913,1.2685878826238568,-0.08874595725023039
7,6,0,6.068153269330764,-0.0754593416129972,0.2278901461801433,1.258334627579988,-0.08539454991816298
7,6,0,6.185939209968389,-0.049203075934867904,0.21804135971358393,1.2484621814685322,-0.08227618052668469
7,6,0,6.303725150606015,-0.024071992094005065,0.20877669797882173,1.238944342714884,-0.0793700527442873
7,6,0,6.42151109124364,3.2573943542502093e-13,0.20005160925002874,1.2297572308801188,-0.07665750721135571
7,6,0,6.485726202156076,0.012699682359756728,0.19550749911204887,1.2248799933275631,-0.07525414510073274
7,6,0,6.6727167524319295,0.048076678258525934,0.18306469436200146,1.2111705636919066,-0.07144410490977902
7,6,0,6.859707302707783,0.08122915578566092,0.171693465744519,1.1981382333759032,-0.06800358481426869
7,6,0,7.046697852983636,0.1123462364413725,0.16127629188365764,1.1857184227083908,-0.06488553924414776
7,6,0,7.233688403259489,0.14159653826064483,0.15171122864882808,1.173854678559867,-0.0620498846012026
7,6,0,7.420678953535342,0.1691309016702656,0.1429095029154331,1.1624974829522596,-0.05946235562124423
7,6,0,7.607669503811195,0.1950847147586168,0.13479352838983305,1.1516032558537364,-0.05709356497018651
7,6,0,7.794660054087048,0.21957964000320052,0.12729526103869804,1.1411335178638702,-0.05491822779729345
7,6,0,7.981650604362901,0.24272549166457025,0.120354829344084,1.1310541849275573,-0.052914520446630454
7,6,0,8.168641154638754,0.26462153649480424,0.1139193881742622,1.1213349723928592,-0.05106354853335265
7,6,0,8.355631704914607,0.28535771665842125,0.10794215554415522,1.1119488898978551,-0.0493489044022636
7,6,0,8.54262225519046,0.30501582237201214,0.10238159969236804,1.1028718119346361,-0.04775629783585601
7,6,0,8.729612805466314,0.3236701807429245,0.09720075028163844,1.0940821116565842,-0.04627324696002198
7,6,0,8.916603355742167,0.3413886698433746,0.09236661255116074,1.085560347696496,-0.04488881876343773
7,6,0,9.10359390601802,0.35823331217101867,0.08784966722399787,1.0772889955502298,-0.043593410626136635
7,6,0,9.290584456293873,0.3742608783106065,0.08362344213577083,1.0692522165355376,-0.0423785658435149
7,6,0,9.477575006569726,0.3895235305518766,0.07966414408066519,1.0614356585230595,-0.041236817413054065
7,6,0,9.664565556845579,0.40406907989500773,0.07595034140414099,1.053826283608436,-0.040161555385075424
7,6,0,9.851556107121432,0.4179416157044695,0.07246268951365525,1.0464122186919933,-0.03914691391560055
7,6,0,10.038546657397285,0.4311817578446802,0.06918369281051168,1.0391826255891,-0.038187674838235444
7,6,0,10.225537207673138,0.44382701084856657,0.06609749763079478,1.0321275878359233,-0.037279185124205805
7,6,0,10.412527757948991,0.4559120718283396,0.06318971167077567,1.025238011803883,-0.03641728605007403
7,6,0,10.599518308224845,0.46746908195911147,0.06044724610084182,1.0185055401081882,-0.03559825226102546
7,6,0,10.786508858500698,0.4785277769023947,0.05785817717268932,1.0119224756054712,-0.034818739219682086
7,6,0,10.97349940877655,0.4891158265896932,0.05541162462153545,1.0054817145340098,-0.03407573777879089
7,6,0,11.160489959052404,0.49925893834649276,0.05309764457760226,0.999176687566146,-0.033366534820911974
7,6,0,11.347480509328257,0.5089810369541667,0.05090713504494527,0.9930013077237547,-0.0326886790775209
7,6,0,11.53447105960411,0.518304417844966,0.048831752292910806,0.9869499242602078,-0.03203995138022739
7,6,0,11.721461609879963,0.5272498740076658,0.04686383674637967,0.9810172817406337,-0.03141833871340587
7,6,0,11.908452160155816,0.5358368475790187,0.044996347163501836,0.9751984836608828,-0.030822011534630597
7,6,0,12.027536681757374,0.5411269886178494,0.04385639273593324,0.9715500256232333,-0.030454651508684216
7,6,0,12.642646646886202,0.5664167296415691,0.0385181617555309,0.9533694615249669,-0.02869528857788546
7,6,0,13.257756612015031,0.5886750870446816,0.033972821805843864,0.9362076868570907,-0.02713540072018092
7,6,0,13.87286657714386,0.6083435023791854,0.030075930584960896,0.9199533326924073,-0.025739742010803788
7,6,0,14.487976542272689,0.6257846418579083,0.026714083201525594,0.9045140639854,-0.024481225758889016
7,6,0,15.103086507401517,0.641298846230197,0.02379728842504996,0.8898122893636824,-0.02333869393382613
7,6,0,15.718196472530346,0.6551369117172164,0.021253436254842203,0.8757820187914624,-0.02229536871602568
7,6,0,16.333306437659175,0.6675096769024873,0.019024227262237355,0.8623665244496632,-0.02133775942123897
7,6,0,16.948416402788006,0.6785956081384295,0.017062139338763393,0.8495165728907264,-0.020454878638340408
7,6,0,17.563526367916833,0.6885465904988695,0.015328141026546645,0.8371890697769272,-0.019637671710909275
7,6,0,18.17863633304566,0.6974927017091118,0.013789949080803107,0.8253460069288778,-0.01887859564390863
7,6,0,18.79374629817449,0.705545867944155,0.012420687491952765,0.8139536339270194,-0.018171304160304907
7,6,0,19.40885626330332,0.7128028740508481,0.011197845919573205,0.8029817986743741,-0.017510409182387346
7,6,0,20.023966228432148,0.7193477940986404,0.010102463723183155,0.7924034166528502,-0.016891298039351365
7,6,0,20.639076193560975,0.725253940033272,0.009118485594217775,0.7821940393415696,-0.016309991801007274
7,6,0,21.254186158689805,0.7305855638999036,0.008232248882334424,0.772331499882893,-0.01576303431216758
7,6,0,21.869296123818636,0.73539906318209,0.007432072832581373,0.7627956195513049,-0.015247404396140994
7,6,0,22.484406088947463,0.7397442489441857,0.006707927302681654,0.7535679625525199,-0.014760445725757512
7,6,0,23.09951605407629,0.7436650956365116,0.006051163922364429,0.7446316295964294,-0.014299810300533993
7,6,0,23.71462601920512,0.7472007644141705,0.005454296648570407,0.7359710828507825,-0.013863412501392865
7,6,0,24.32973598433395,0.7503860350177033,0.004910821651101454,0.7275719965031202,-0.013449391442647163
7,6,0,24.944845949462778,0.753251932955125,0.004415068707454708,0.719421128384112,-0.013056079888482525
7,6,0,25.559955914591605,0.7558263087069762,0.00396207798803887,0.7115062090407356,-0.01268197840555842
7,6,0,26.175065879720435,0.7581340329557343,0.003547497414389019,0.7038158453676567,-0.012325733724726784
7,6,0,26.790175844849266,0.7601975808484212,0.003167496774375501,0.6963394364639998,-0.011986120511418582
7,6,0,27.405285809978093,0.7620371343523996,0.0028186955542637403,0.6890670998198094,-0.011662025915970443
7,6,0,28.02039577510692,0.7636709631454865,0.0024981020522801866,0.6819896062811308,-0.0113524364063636
7,6,0,28.63550574023575,0.7651156117006594,0.002203061812631877,0.6750983225162288,-0.01105642648685764
7,6,0,29.25061570536458,0.7663859914844972,0.001931213792986431,0.6683851599243575,-0.01077314898434549
7,6,0,29.86572567049341,0.7674957468802239,0.0016804529750274414,0.6618425291045108,-0.010501826645443314
7,6,0,30.480835635622235,0.7684572545109346,0.001448898364111514,0.6554632991443674,-0.01024174483545706
7,6,0,31.095945600751065,0.7692818012436301,0.0012348655134159937,0.6492407611058756,-0.009992245168453364
7,6,0,31.711055565879896,0.7699796893867913,0.0010368428603619159,0.6431685951793704,-0.009752719928011407
7,6,0,32.326165531008726,0.7705603454589968,0.0008534712862967872,0.6372408410566376,-0.009522607162547258
7,6,0,32.94127549613755,0.7710323956128012,0.0006835264104523009,0.6314518711386164,-0.009301386358706929
7,6,0,33.55638546126638,0.7714037570861902,0.0005259032107484225,0.6257963662476451,-0.009088574612215329
