index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.944444444444441,71.11111111111109,10.600000000000016,7.309458903195519,False
1,3.0,200.0,17.5,True,3.544444444444446,240.74074074074076,12.898148148148149,0.4163793982741046,False
2,3.25,150.0,13.25,True,3.8458333333333306,197.5,8.391666666666655,0.7787463785393585,False
3,2.75,250.0,21.75,True,3.294907407407406,268.67283950617286,17.749074074074066,2.28105728496945,False
4,2.875,175.0,19.625,True,3.402083333333336,230.41666666666669,12.429166666666692,1.4761054674923788,False
5,3.375,275.0,11.125,True,3.9854475705494092,235.88078349577066,13.008360095706589,0.01524862994698383,True
6,3.125,125.0,23.875,True,3.9756944444444464,147.91666666666674,20.293749999999974,6.235670791286812,False
7,2.625,225.0,15.375,True,3.145138888888888,241.80555555555551,12.54675925925926,2.2717079422204285,False
8,2.6875,162.5,24.9375,True,3.3593750000000036,235.625,12.468749999999972,1.0782995925314889,False
9,3.1875,262.5,16.4375,True,3.985447143994503,235.88081623957675,13.008359661723727,0.015248629944434398,True
10,3.4375,112.5,20.6875,True,4.640624999999998,148.75,15.630555555555532,6.177820860488692,False
11,2.9375,212.5,12.1875,True,3.564891975308642,222.68775720164615,10.692901234567907,0.3524493992080105,False
12,2.8125,137.5,14.3125,True,3.869791666666667,132.15277777777789,12.457175925925917,6.323200157966361,False
13,3.3125,237.5,22.8125,True,3.588541666666666,266.08796296296305,17.912037037037038,0.9841471003996396,False
14,3.0625,187.5,10.0625,True,3.389544753086419,208.0246913580247,9.470344650205764,1.1489829271897032,False
15,2.5625,287.5,18.5625,True,3.722479423868319,230.17746913580257,10.969444444444452,0.4109284284350492,False
16,2.59375,193.75,16.96875,True,3.467939814814823,231.7824074074074,12.467708333333338,0.9349474291311826,False
17,3.09375,293.75,25.46875,True,4.018904320987653,285.12688614540457,19.767103909464993,1.5841836672514424,False
18,3.34375,143.75,12.71875,True,3.61147360468107,132.69145447530855,13.237248424639908,6.407502248390781,False
19,2.84375,243.75,21.21875,True,3.4015775034293565,271.42961248285326,17.890889346136255,1.7605727481119593,False
20,2.96875,118.75,23.34375,True,3.908854166666664,148.4375,19.84218749999999,6.231518566068637,False
21,3.46875,218.75,14.84375,True,3.9854457228401623,235.88079417097214,13.008355008377643,0.01524862994464721,True
22,3.21875,168.75,19.09375,True,3.9854460278136736,235.88076846694358,13.008352330662397,0.015248629943917302,True
23,2.71875,268.75,10.59375,True,3.2239004629629653,230.2623456790124,10.698379629629637,1.722579427440472,False
24,2.65625,131.25,18.03125,True,3.418145576131688,142.75462962962962,14.859085648148136,6.368505080026675,False
25,3.15625,231.25,9.53125,True,3.962847222222223,211.9791666666667,10.0607638888889,0.4425319076523077,False
26,3.40625,181.25,22.28125,True,3.9854470094110424,235.88078906079434,13.008355767181342,0.01524862994397987,True
27,2.90625,281.25,13.78125,True,3.627430555555554,252.0833333333333,13.628125000000004,0.5546641518350923,False
28,2.78125,156.25,11.65625,True,3.7186342592592574,186.9212962962963,7.386458333333323,1.627198417203319,False
29,3.28125,256.25,20.15625,True,4.031646519204388,257.8727994970277,16.586280435528124,0.4748651462528066,False
30,3.03125,106.25,15.90625,True,4.546875000000007,139.89583333333331,14.315624999999995,6.222072488417055,False
31,2.53125,206.25,24.40625,True,3.0375000000000014,257.8125,14.643749999999956,3.7988194441863614,False
