index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.1388888888888875,91.66666666666664,9.499999999999991,0.5369274268829944,False
1,3.0,200.0,17.5,True,3.0,200.0,17.5,,False
2,3.25,150.0,13.25,True,3.6345091755414387,103.34335768664238,12.944241081995926,0.018496507741185948,True
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,2.875,175.0,19.625,,False
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.8527377686328337,116.04366712391403,19.54867969821673,1.2679857033030169,False
7,2.625,225.0,15.375,True,2.625,225.0,15.375,,False
8,2.6875,162.5,24.9375,True,3.1337577160493844,125.73688271604937,25.268460648148174,3.204991250202221,False
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,3.6860585991083665,115.88541666666666,18.326812199931418,0.911261426111435,False
11,2.9375,212.5,12.1875,True,2.9375,212.5,12.1875,,False
12,2.8125,137.5,14.3125,True,3.3518840020576137,110.24362711476913,14.91785265203475,0.6213109809388002,False
13,3.3125,237.5,22.8125,True,3.3125,237.5,22.8125,,False
14,3.0625,187.5,10.0625,True,3.0625,187.5,10.0625,,False
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,2.59375,193.75,16.96875,,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,3.6338665285032894,103.34301968028251,12.942969269876784,0.018497132509956646,True
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,3.6345175464869834,103.34334991971781,12.944195250189846,0.018496513530919197,True
21,3.46875,218.75,14.84375,True,3.46875,218.75,14.84375,,False
22,3.21875,168.75,19.09375,True,3.21875,168.75,19.09375,,False
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.409400720164612,118.20601851851848,17.35600565843623,1.1817859888214834,False
25,3.15625,231.25,9.53125,True,3.15625,231.25,9.53125,,False
26,3.40625,181.25,22.28125,True,3.40625,181.25,22.28125,,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.634440052200708,103.34338259640883,12.944238491657716,0.01849654789557669,True
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,3.6345809269830154,103.34339454897354,12.9443731654621,0.018496517824917787,True
31,2.53125,206.25,24.40625,True,2.53125,206.25,24.40625,,False
