index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.572086581326328,109.52035264857466,12.553757841173798,0.05397028605271764,True
1,3.0,200.0,17.5,True,3.0,200.0,17.5,,False
2,3.25,150.0,13.25,True,3.5720868436591093,109.52031818433318,12.553747963474287,0.05397028605110271,True
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,3.48726851851852,127.037037037037,20.896990740740748,1.5565634346461077,False
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.7618955761316855,124.9356995884774,18.404873971193396,0.9400064214937828,False
7,2.625,225.0,15.375,True,2.625,225.0,15.375,,False
8,2.6875,162.5,24.9375,True,3.2921875000000025,125.93750000000034,21.196874999999977,2.3453625378596987,False
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,3.685763888888888,122.29166666666666,18.0824074074074,0.9002708788885903,False
11,2.9375,212.5,12.1875,True,2.9375,212.5,12.1875,,False
12,2.8125,137.5,14.3125,True,3.3350694444444455,117.80864197530867,14.277160493827168,0.6036093456283413,False
13,3.3125,237.5,22.8125,True,3.3125,237.5,22.8125,,False
14,3.0625,187.5,10.0625,True,3.0625,187.5,10.0625,,False
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,2.59375,193.75,16.96875,,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,3.572087392197828,109.52033672398824,12.553755768416554,0.05397028605163706,True
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,3.5789930555555554,125.787037037037,19.10729166666666,1.0103035671467222,False
21,3.46875,218.75,14.84375,True,3.46875,218.75,14.84375,,False
22,3.21875,168.75,19.09375,True,3.767129629629629,125.0,21.03848379629631,1.3842090695797251,False
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.5720885683263646,109.5202984997739,12.553748209851083,0.05397028605519759,True
25,3.15625,231.25,9.53125,True,3.15625,231.25,9.53125,,False
26,3.40625,181.25,22.28125,True,3.40625,181.25,22.28125,,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.2756944444444427,112.26851851851842,12.64918981481482,0.5943084338303771,False
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,3.572089088053622,109.52039914491407,12.553771032922558,0.053970286060543125,True
31,2.53125,206.25,24.40625,True,2.53125,206.25,24.40625,,False
