index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.4243827160493865,107.34567901234573,8.0,110.48664352829068,False
1,3.0,200.0,17.5,True,4.296296296296298,199.95884773662533,13.020576131687257,4.865918976726746,False
2,3.25,150.0,13.25,True,4.080555555555554,178.33333333333337,9.569444444444432,3.1942631191549364,False
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,3.450000000000003,218.75,11.77500000000002,28.43935711277365,False
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.854166666666667,187.5,8.754166666666649,8.33054496295552,False
7,2.625,225.0,15.375,True,5.120036964254032,155.13227405966293,8.000000002552703,1.3579796524385057,True
8,2.6875,162.5,24.9375,True,3.254861111111113,211.25,14.131249999999977,34.30830801941297,False
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,3.710991083676267,118.39506172839506,19.814879115226336,6.2817548382379895,False
11,2.9375,212.5,12.1875,True,5.120049054462449,155.13221560564142,8.0,1.3579796521082914,True
12,2.8125,137.5,14.3125,True,3.6215277777777786,174.33641975308643,9.10138888888886,6.645685904938348,False
13,3.3125,237.5,22.8125,True,3.3125,237.5,22.8125,,False
14,3.0625,187.5,10.0625,True,5.1298642048663865,156.59293711798233,8.115296639193275,1.3634506981870007,True
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,3.178677983539096,219.26440329218087,14.591030092592582,42.46721598588204,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,4.465979267567247,175.15520832223766,8.0,2.0036503451538525,True
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,4.255208333333334,116.77083333333331,19.84218749999997,6.192309572231112,False
21,3.46875,218.75,14.84375,True,5.202376881732416,164.23878106355687,8.788302781366287,1.3816412019350752,True
22,3.21875,168.75,19.09375,True,3.8624999999999954,210.9375,11.456249999999995,12.610861186799276,False
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.817129629629631,188.125,10.594270833333322,5.824413245392446,False
25,3.15625,231.25,9.53125,True,3.15625,231.25,9.53125,,False
26,3.40625,181.25,22.28125,True,3.5918065200617275,219.6537422839508,20.32132523148147,25.835951523865457,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.48858024691358,182.67746913580245,8.201408179012311,13.85375174252536,False
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,4.3784722222222285,118.0555555555556,18.11545138888891,6.130964192908017,False
31,2.53125,206.25,24.40625,True,2.7191406250000005,219.64988425925927,22.14264564043209,89.44657904475784,False
